censura,sexo,idade,cr,rep_ga,rep_calc,rep_prob,tempo,instmae,seg_grau,cotas,renda,statusc,sexo1
2.0,F,21.0,3.4,1.0,3.0,1.0,13.0,3.0,1.0,1,4.0,0,0
3.0,M,31.0,0.3,6.0,6.0,8.0,7.0,2.0,1.0,1,5.0,3,1
0.0,F,20.0,0.0,1.0,2.0,8.0,4.0,2.0,0.0,1,1.0,2,0
1.0,F,22.0,5.8,1.0,2.0,1.0,12.0,2.0,1.0,1,2.0,1,0
3.0,F,20.0,2.8,2.0,2.0,8.0,5.0,2.0,0.0,1,1.0,3,0
2.0,M,25.0,3.4,1.0,2.0,3.0,13.0,2.0,0.0,0,1.0,0,1
2.0,F,20.0,5.5,1.0,1.0,1.0,11.0,0.0,0.0,0,1.0,0,0
1.0,F,28.0,5.8,1.0,2.0,0.0,2.0,1.0,1.0,1,3.0,1,0
0.0,M,18.0,0.9,3.0,4.0,8.0,8.0,0.0,0.0,0,1.0,2,1
3.0,M,33.0,2.9,9.0,9.0,9.0,4.0,0.0,0.0,0,1.0,3,1
4.0,M,19.0,4.2,2.0,2.0,2.0,8.0,1.0,1.0,1,3.0,3,1
0.0,F,20.0,2.3,1.0,1.0,8.0,6.0,1.0,1.0,1,3.0,2,0
4.0,M,24.0,0.0,1.0,2.0,8.0,4.0,2.0,1.0,1,2.0,3,1
4.0,M,35.0,0.0,1.0,1.0,8.0,1.0,3.0,1.0,1,1.0,3,1
1.0,F,18.0,7.2,0.0,0.0,0.0,8.0,2.0,1.0,1,3.0,1,0
0.0,M,33.0,6.0,0.0,0.0,8.0,7.0,1.0,1.0,1,3.0,2,1
2.0,F,19.0,7.1,0.0,0.0,0.0,9.0,2.0,0.0,0,1.0,0,0
2.0,M,24.0,3.4,1.0,1.0,2.0,9.0,3.0,1.0,1,4.0,0,1
